Name,Exchange,Ticker,corr
Graviss Hospitality Limited,BSE,GRAVISSHO.BO,-13.93
Benares Hotels Limited,BSE,BENARAS.BO,9.89
Zenith Healthcare Ltd,BSE,ZENITHHE.BO,
WONDERLA HOLIDAYS LTD,BSE,WONDERLA.BO,
WH Brady & Company Limited,BSE,WHBRADY.BO,-13.06
THE BYKE HOSPITALITY LTD.,BSE,THEBYKE.BO,13.81
Shree Hari Chemicals Export Limited,BSE,SHHARICH.BO,0.1
Royal Orchid Hotels Limited,NSI,ROHLTD.NS,-3.24
Royal Orchid Hotels Limited,BSE,ROHLTD.BO,-1.1
Jubilant Industries Limited,NSI,JUBLINDS.NS,-28.53
J.Kumar Infraprojects Limited,BSE,JKIL.BO,-14.43
Jain Irrigation Systems Limited,NSI,JISLJALEQS.NS,-36.57
Jai Balaji Industries Ltd.,BSE,JAIBALAJI.BO,-31.76
Jyoti Ltd.,BSE,JYOTI.BO,-46.21
Jyothy Laboratories Limited,NSI,JYOTHYLAB.NS,0.44
Jubilant FoodWorks Limited,NSI,JUBLFOOD.NS,-16.07
Jubilant FoodWorks Limited,BSE,JUBLFOOD.BO,-15.98
JSW Steel Limited,NSI,JSWSTEEL.NS,-14.07
JSW STEEL LTD.,BSE,JSWSTEEL.BO,-14.11
JSW Energy Limited,BSE,JSWENERGY.BO,-17.53
JPT Securities Ltd.,BSE,JPTSEC.BO,7.06
Jaiprakash Power Ventures Limited,NSI,JPPOWER.NS,-42.82
Jaiprakash Power Ventures Limited,BSE,JPPOWER.BO,-45.11
Jindal Poly Investment and Finance Company Limited,NSI,JPOLYINVST.NS,
Jaypee Infratech Limited,BSE,JPINFRATEC.BO,-60.58
JK Tyre & Industries Limited,NSI,JKTYRE.NS,-16.47
JK Paper Limited,NSI,JKPAPER.NS,-8.9
Jain Irrigation Systems Limited,NSI,JISLDVREQS.NS,-33.34
Jindal Cotex Limited,NSI,JINDCOT.NS,
Jindal Saw Limited,NSI,JINDALSAW.NS,-23.49
Jetking Infotrain Limited,BSE,JETKINGQ.BO,-33.93
Jet Airways (India) Ltd.,BSE,JETAIRWAYS.BO,-27.98
JCT Ltd.,BSE,JCTLTD.BO,-72.19
JBF Industries Limited,NSI,JBFIND.NS,-41.03
JAMES WARREN TEA LTD,BSE,JAMESWARREN.BO,
Jagsonpal Finance & Leasing Ltd,BSE,JAGSONFI.BO,
Jagran Prakashan Limited,NSI,JAGRAN.NS,-2.11
Jamna Auto Industries Limited,NSI,JAMNAAUTO.NS,-26.24
Jai Corp Limited,NSI,JAICORPLTD.NS,-51.09
Jullundur Motor Agency (Delhi) Limited,NSI,JMA.NS,
Jyoti Resins & Adhesives Ltd.,BSE,JYOTIRES.BO,19.08
JUPITER INFOMEDIA LTD.,BSE,JUPITERIN.BO,-1.7
Just Dial Limited,NSI,JUSTDIAL.NS,
J. Kumar Infraprojects Limited,NSI,JKIL.NS,-12.95
Jayant Mercantile Co. Ltd.,BSE,JAYAMEL.BO,
JINDAL WORLDWIDE LTD.,BSE,JINDWORLD.BO,15.67
The Jammu and Kashmir Bank Limited,NSI,J&KBANK.NS,
JINDAL STEEL & POWER LTD.,BSE,JINDALSTEL.BO,-13.43
JINDAL POLY FILMS LTD.,BSE,JINDALPOLY.BO,-25.0
JAIPRAKASH ASSOCIATES LTD.,BSE,JPASSOCIAT.BO,-54.58
JAIN IRRIGATION SYSTEMS LTD.,BSE,JISLDVREQS.BO,-31.54
Jeevan Scientific Technology L,BSE,JSTL.BO,
Florence Investech Limited,BSE,JKAGRI.BO,
JINDAL SAW LTD.,BSE,JINDALSAW.BO,-23.48
Jenburkt Pharmaceuticals Ltd.,BSE,JENBURPH.BO,-31.96
C.J. Gelatine Products Ltd.,BSE,CJGEL.BO,10.63
J. L. Morison (India) Limited,BSE,JLMORI.BO,0.84
PC Jeweller Limited,NSI,PCJEWELLER.NS,-37.63
JATTASHANKAR INDUSTIES LTD.,BSE,JATTAINDUS.BO,
JAYKAY ENTERPRISES LTD.,BSE,JAYKAY.BO,-17.62
Jindal Stainless Limited,BSE,JSL.BO,-27.05
Jaysynth Dyestuff India Ltd.,BSE,JAYSYN.BO,-12.97
JMC PROJECTS (INDIA) LTD.,BSE,JMCPROJECT.BO,-43.39
JTL INFRA LTD.,BSE,JTLINFRA.BO,20.24
Narbada Gems And Jewellery Ltd,BSE,NARBADA.BO,
Jay Ushin Limited,BSE,JAYUSH.BO,-19.95
JSW Energy Limited,NSI,JSWENERGY.NS,-17.46
JUMBO BAG LTD.,BSE,JUMBO.BO,16.16
SAI JEEVADHARA FINANCE LIMITED,BSE,SAIJEEV.BO,
JBF Industries Limited,BSE,JBFIND.BO,-41.41
J.K. Cement Limited,NSI,JKCEMENT.NS,-10.07
Jindal Hotels Ltd,BSE,JINDHOT.BO,-9.56
Goldman Sachs Junior BeES ETF,NSI,JUNIORBEES.NS,-25.74
JIK INDUSTRIES LTD.,BSE,JIKIND.BO,
LYPSA GEMS & JEWELLERY LTD,BSE,LYPSAGEMS.BO,-4.89
Josts Engineering Company Ltd,BSE,JOSTS.BO,1.48
Jindal Photo Limited,NSI,JINDALPHOT.NS,-32.28
Jaihind Synthetics Limited,BSE,JAIHINDS.BO,
ATLAS JEWELLERY INDIA LIMITED,BSE,AJIL.BO,-40.36
JK TYRE & INDUSTRIES LTD.,BSE,JKTYRE.BO,-16.55
JAGSONPAL PHARMACEUTICALS LTD.,BSE,JAGSNPHARM.BO,-49.01
JAY BHARAT MARUTI LTD.,BSE,JAYBARMARU.BO,-25.82
Joy Realty Ltd,BSE,JOYREALTY.BO,
Jayant Agro-Organics Limited,NSI,JAYAGROGN.NS,-13.91
PC JEWELLER LTD.,BSE,PCJEWELLER.BO,-38.03
Jai Balaji Industries Limited,NSI,JAIBALAJI.NS,-34.87
Jindal Worldwide Limited,NSI,JINDWORLD.NS,9.22
JK PAPER LTD.,BSE,JKPAPER.BO,-8.42
JSW Holdings Limited,NSI,JSWHL.NS,-4.85
JINDAL PHOTO LTD.,BSE,JINDALPHOT.BO,-31.42
JK Lakshmi Cement Limited,BSE,JKLAKSHMI.BO,-39.75
J. TAPARIA PROJECTS LTD,BSE,JTAPARIA.BO,
KM Sugar Mills Ltd.,BSE,KMSUGAR.BO,-27.39
Shree Krishna Paper Mills & Industries Ltd.,BSE,SKPMIL.BO,
K.P.R. Mill Limited,NSI,KPRMILL.NS,-21.75
Kotak Mahindra Bank Limited,NSI,KOTAKBANK.NS,1.5
Shree Karthik Papers Ltd.,BSE,SHKARTP.BO,
Kuwer Industries Limited,BSE,KUWERIN.BO,-49.01
Kunststoffe Industries,BSE,KUNSTOFF.BO,21.72
Karnataka Bank Ltd.,BSE,KTKBANK.BO,-13.51
KSK Energy Ventures Limited,NSI,KSK.NS,
KSS Limited,NSI,KSERASERA.NS,
Kaveri Seed Company Limited,NSI,KSCL.NS,3.66
Kaveri Seed Company Limited,BSE,KSCL.BO,3.56
Krebs Biochemicals & Industries Ltd,BSE,KREBSBIO.BO,-1.9
Kothari Products Limited,NSI,KOTHARIPRO.NS,-24.48
Kothari Products Ltd,BSE,KOTHARIPRO.BO,-25.04
Kothari Sugars and Chemicals Limited,NSI,KOTARISUG.NS,-39.4
Kotak Mahindra Bank Limited,BSE,KOTAKBANK.BO,0.75
Kopran Limited,NSI,KOPRAN.NS,-28.35
Kopran Limited,BSE,KOPRAN.BO,-28.27
Koffee Break Pictures Limited,BSE,KOFFBREAK.BO,
KOA Tools India Limited,BSE,KOATOOLIN.BO,
KNR Constructions Limited,NSI,KNRCON.NS,21.65
KNR Constructions Limited.,BSE,KNRCON.BO,22.07
KLK Electrical Ltd,BSE,KLKELEC.BO,
Kitex Garments Limited,NSI,KITEX.NS,-22.83
Kirloskar Pneumatic Company Ltd,BSE,KIRLPNU.BO,-7.56
Kirloskar Oil Engines Limited,NSI,KIRLOSENG.NS,-5.44
KIRAN SYNTEX LTD.,BSE,KIRANSY-B.BO,
Kilpest India Ltd.,BSE,KILPEST.BO,-22.61
Khoday India Limited,BSE,KHODAY.BO,-27.47
Khandwala Securities Limited,BSE,KHANDSE.BO,-18.9
Karuturi Global Limited,NSI,KGL.NS,
Kennametal India Limited,BSE,KENNAMET.BO,-11.09
KENGOLD (INDIA) LTD.,BSE,KENGI.BO,
Kemp & Co. Ltd,BSE,KEMP.BO,
KEC International Limited,NSI,KEC.NS,-33.42
KDDL Limited,BSE,KDDL.BO,-15.18
K.C.P. Sugar and Industries Corporation Limited,NSI,KCPSUGIND.NS,-50.35
Kaycee Industries Ltd.,BSE,KAYCEEI.BO,-45.02
G.K. Consultants Limited,BSE,GKCONS.BO,
Everest Kanto Cylinder Limited,NSI,EKC.NS,-57.78
Dai-Ichi Karkaria Limited,BSE,DAICHI.BO,-27.42
ABM Knowledgeware Limited,BSE,ABMKNO.BO,-23.94
Kriti Industries (India) Ltd.,BSE,KRITIIND.BO,15.4
KIC Metaliks Ltd.,BSE,KAJARIR.BO,-9.08
Kaira Can Company Limited,BSE,KAIRA.BO,-13.72
Kalyani Steels Limited,NSI,KSL.NS,-56.46
KUSHAL TRADELINK LTD,BSE,KUSHAL.BO,
KANEL INDUSTRIES LIMITED,BSE,KANELIND.BO,
Kansai Nerolac Paints Limited,NSI,KANSAINER.NS,-32.5
KANDAGIRI SPINNING MILLS LTD.,BSE,KANDAGIRI.BO,15.35
MRF Limited,NSI,MRF.NS,-5.74
Tata Steel Limited,NSI,TATASTEEL.NS,-35.05
SpiceJet Limited,BSE,SPICEJET.BO,-34.09
Reliance Power Limited,BSE,RPOWER.BO,-37.04
Reliance Industries Limited,NSI,RELIANCE.NS,7.75
NOCIL Limited,NSI,NOCIL.NS,-28.85
Indo Count Industries Limited,NSI,ICIL.NS,-14.14
Walchand Peoplefirst Limited,BSE,WALCHPF.BO,-35.01
Tata Consultancy Services Limited,NSI,TCS.NS,15.1
Transport Corp. of India Ltd.,BSE,TCI.BO,-21.98
Sasken Technologies Limited,NSI,SASKEN.NS,-29.09
Shree Renuka Sugars Limited,BSE,RENUKA.BO,-45.76
Reliance Infrastructure Limited,NSI,RELINFRA.NS,-43.91
Reliance Capital Limited,BSE,RELCAPITAL.BO,-59.45
Rain Industries Limited,BSE,RAIN.BO,-34.54
Praj Industries Limited,NSI,PRAJIND.NS,-23.55
Olympic Oil Industries Ltd.,BSE,OLYOI.BO,
MPIL Corporation Limited,BSE,MPILCORPL.BO,-24.89
